question|answer
je bâille juste parce que les publicités sont diffusées.|d'accord je vais vous dire comment se termine le spectacle 
d'accord.|je vais vous dire comment se termine le spectacle zzz 
c'est dimanche.|donc? 
donc?|Savez-vous ce que cela signifie.
Savez-vous ce que cela signifie.|j'ai oublié 
j'ai oublié.|dimanche signifie que nous allons à l'église 
dimanche signifie que nous allons à l'église.|oh ouais 
oh ouais.|mettre un manteau et une cravate 
mettre un manteau et une cravate.|pourquoi ? 
pourquoi ?|faire preuve de respect envers Dieu et les autres.
faire preuve de respect envers Dieu et les autres.|je suis content que le dimanche ne soit qu'une fois par semaine 
je suis content que le dimanche ne soit qu'une fois par semaine.|j'espère que Dieu n'a pas entendu ça 
j'espère que Dieu n'a pas entendu ça.|il me pardonnera 
as-tu nourri le chat ?|je ferai ça dans une minute.
je ferai ça dans une minute.|le chat miaule il a faim 
le chat miaule.|il a faim d'accord je vais le nourrir tout de suite 
d'accord.|je vais le nourrir tout de suite tu ne devrais pas le faire attendre 
tu ne devrais pas le faire attendre.|je faisais mes devoirs 
je faisais mes devoirs.|le chat ne se soucie pas de vos devoirs 
le chat ne se soucie pas de vos devoirs.|le chat ne se soucie de rien 
le chat ne se soucie de rien.|c'est comme ça que sont les chats 
c'est comme ça que sont les chats.|ils ne pensent qu'à eux-mêmes 
ils ne pensent qu'à eux-mêmes.|peut-être devrions-nous nous débarrasser de lui 
peut-être devrions-nous nous débarrasser de lui.|Bien sûr que non! il est de la famille 
je déteste me raser.|moi aussi 
moi aussi.|je viens de me couper encore 
je viens de me couper encore.|as-tu utilisé une lame neuve ? 
as-tu utilisé une lame neuve ?|cela n'a pas d'importance. vieilles lames coupées, nouvelles lames coupées.
cela n'a pas d'importance.|vieilles lames coupées, nouvelles lames coupées vous devriez peut-être utiliser un rasoir électrique 
vous devriez peut-être utiliser un rasoir électrique.|ils font beaucoup de bruit, mais ils ne rasent pas de près 
ils font beaucoup de bruit, mais ils ne rasent pas de près.|peut-être que tu devrais arrêter de te raser 
peut-être que tu devrais arrêter de te raser.|et se laisser pousser la barbe ? 
et se laisser pousser la barbe ?|bien sûr. pourquoi pas
bien sûr. pourquoi pas?|parce que la nourriture et d'autres choses restent dans ma barbe.
parce que la nourriture et d'autres choses restent dans ma barbe.|Hmm voici une idée mettez de la crème sur votre visage et demandez au chat de la lécher 
excusez-moi.|Oui? 
Oui?|est-ce que tu lis ce journal
est-ce que tu lis ce journal ?|oh non. aide-toi.
oh non.|aide-toi j'ai demandé parce que le journal est à côté de toi 
j'ai demandé parce que le journal est à côté de toi.|merci c'est poli de votre part de demander 
merci.|c'est poli de votre part de demander certaines personnes le prendraient simplement 
certaines personnes le prendraient simplement.|oui je sais certaines personnes sont grossières 
oui je sais.|certaines personnes sont grossières 
j'essaie toujours d'être poli.|moi aussi 
moi aussi.|le monde a besoin de gens plus polis comme nous 
le monde a besoin de gens plus polis comme nous.|je suis d'accord à 100 pour cent 
maman, je veux un chiot.|Laisse moi y réfléchir 
Laisse moi y réfléchir.|pourquoi faut-il y penser ? 
pourquoi faut-il y penser ?|parce qu'un chiot coûte de l'argent.
parce qu'un chiot coûte de l'argent.|non, ce n'est pas le cas les chiots sont gratuits 
non, ce n'est pas le cas.|les chiots sont gratuits oui, mais un chiot a besoin de vaccins 
oui, mais un chiot a besoin de vaccins.|des clichés pour quoi ? 
des clichés pour quoi ?|pour qu'il ne tombe pas malade. tout comme vous recevez des injections.
pour qu'il ne tombe pas malade.|tout comme vous recevez des injections je déteste les coups 
je déteste les coups.|et un chiot mange de la nourriture la nourriture coûte de l'argent 
et un chiot mange de la nourriture.|la nourriture coûte de l'argent aucun problème je vais lui donner de la nourriture dans mon assiette 
aucun problème.|je vais lui donner de la nourriture dans mon assiette oh, non, ce n'est pas le cas les chiots ne mangent pas de légumes 
regardez tous ces chatons ! combien y en a-t-il?.|
combien y en a-t-il?|huit.
huit.|ils sont tous si mignons 
ils sont tous si mignons.|oui, mais je ne peux pas les garder 
oui, mais je ne peux pas les garder.|Qu'allez vous faire avec eux? 
Qu'allez vous faire avec eux?|je vais les donner. en veux-tu un
je vais les donner. en veux-tu un?|oui, j'en adorerais un.
oui, j'en adorerais un.|lequel veut-tu? 
lequel veut-tu?|Celui-la. celui qui est tout noir.
Celui-la.|celui qui est tout noir oui, j'aime celui-là aussi 
mes parents vont à l'église tous les dimanches.|ils font confiance à Dieu 
ils font confiance à Dieu.|ils espèrent qu'ils iront au paradis 
ils espèrent qu'ils iront au paradis.|ils le feront probablement 
ils le feront probablement.|mais personne ne le sait avec certitude 
mais personne ne le sait avec certitude.|ça c'est sûr 
ça c'est sûr.|personne ne sait ce qui se passe après notre mort 
personne ne sait ce qui se passe après notre mort.|si nous sommes bons, nous serons heureux au paradis avec Dieu 
si nous sommes bons, nous serons heureux au paradis avec Dieu.|c'est ce que beaucoup de gens croient 
c'est ce que beaucoup de gens croient.|si nous sommes mauvais, nous serons malheureux pour toujours en enfer 
si nous sommes mauvais, nous serons malheureux pour toujours en enfer.|je ne veux pas aller en enfer 
je ne veux pas aller en enfer.|allons à l'église avec tes parents dimanche 
mon mari est mort.|je suis désolé pour toi 
je suis désolé pour toi.|merci 
merci.|quand est-il mort? 
quand est-il mort?|il y a quelques mois.
il y a quelques mois.|Il te manque encore 
Il te manque encore.|oui, mais je lui parle presque tous les jours 
oui, mais je lui parle presque tous les jours.|quand tu vas à l'église ? 
quand tu vas à l'église ?|non, quand je l'appelle sur son portable.
Non,.|
que veux-tu dire ?|je l'ai enterré avec son téléphone portable.
je l'ai enterré avec son téléphone portable.|que ferez-vous lorsque la batterie sera épuisée ? 
aujourd'hui, c'est vendredi 13.|c'est une mauvaise journée 
c'est une mauvaise journée.|c'est censé porter malheur 
c'est censé porter malheur.|tu es censé rester à la maison toute la journée 
tu es censé rester à la maison toute la journée.|c'est ce que je fais 
c'est ce que je fais.|mon ami a séjourné dans un hôtel le vendredi 13 
mon ami a séjourné dans un hôtel le vendredi 13.|c'était une erreur 
c'était une erreur.|il est resté au treizième étage 
il est resté au treizième étage.|ce qui s'est passé? 
ce qui s'est passé?|quelqu'un a volé son ordinateur portable.
quelqu'un a volé son ordinateur portable.|il le demandait 
il le demandait.|il a appris sa leçon il est à la maison aujourd'hui 
est ce que tu m'aimes vraiment?|bien sûr.
bien sûr.|prouve le 
prouve le.|comment puis-je le prouver ? 
comment puis-je le prouver ?|emmène-moi dîner.
emmène-moi dîner. c'est ça?|c'est tout ce que j'ai à faire
c'est ça?|c'est tout ce que j'ai à faire? emmène-moi dans un bon restaurant, pas chez McDonald's.
emmène-moi dans un bon restaurant, pas chez McDonald's.|mais un bon restaurant coûte de l'argent 
mais un bon restaurant coûte de l'argent.|oui, et vous devez faire une réservation 
oui, et vous devez faire une réservation.|c'est tellement compliqué 
c'est tellement compliqué.|je savais que tu ne m'aimais pas 
mes parents sont divorcés.|les miens aussi 
les miens aussi.|pourquoi tes parents ont-ils divorcé ? 
pourquoi tes parents ont-ils divorcé ?|mon père a trouvé une nouvelle petite amie.
mon père a trouvé une nouvelle petite amie.|c'est dommage 
c'est dommage.|ma mère était blessée et en colère 
ma mère était blessée et en colère.|elle avait de bonnes raisons qu'a-t-elle fait? 
elle avait de bonnes raisons. qu'a-t-elle fait?|elle lui a dit de laisser tomber sa petite amie.
elle lui a dit de laisser tomber sa petite amie.|qu'a fait ton père ? 
qu'a fait ton père ?|il a quitté notre maison.
il a quitté notre maison.|je suppose qu'il aimait vraiment sa nouvelle petite amie 
je suppose qu'il aimait vraiment sa nouvelle petite amie.|oui, mais elle l'a quitté un an plus tard 
l'appartement de ma grand-mère sent drôle.|le mien aussi 
le mien aussi.|je pense que c'est l'odeur des personnes âgées 
je pense que c'est l'odeur des personnes âgées.|vraiment ? 
vraiment ?|Oui. je pense qu'en vieillissant, on commence à sentir mauvais.
Oui.|je pense qu'en vieillissant, on commence à sentir mauvais comme des fruits trop mûrs ? 
comme des fruits trop mûrs ?|oui, tout comme les fruits trop mûrs.
oui, tout comme les fruits trop mûrs.|mais l'odeur est différente 
mais l'odeur est différente.|Oui, 
oui, les personnes âgées ne sentent pas les fruits.|non, ils sentent la friperie 
non, ils sentent la friperie.|oui, une friperie a la même odeur 
oui, une friperie a la même odeur.|oui, une vieille odeur 
le prix des timbres monte de plus en plus.|Je pense que les timbres coûtaient un centime 
Je pense que les timbres coûtaient un centime.|C'était il y a très longtemps 
C'était il y a très longtemps.|c'était avant ma naissance 
c'était avant ma naissance.|maintenant, un timbre coûte 42 cents 
maintenant, un timbre coûte 42 cents.|mais en mai, ce sera 44 cents 
mais en mai, ce sera 44 cents.|avez-vous déjà perdu une lettre par la poste ? 
avez-vous déjà perdu une lettre par la poste ?|non, je ne l'ai pas fait.
non, je ne l'ai pas fait.|moi non plus 
moi non plus.|donc, ils font du bon travail pour l'argent 
donc, ils font du bon travail pour l'argent.|oui, ils le font 
oui, ils le font.|peut-être qu'on ne devrait pas se plaindre 
un bouton s'est détaché de ma chemise.|Qu'est-ce que tu vas faire? 
Qu'est-ce que tu vas faire?|d'abord, je dois trouver le bouton.
d'abord, je dois trouver le bouton.|où l'as-tu perdu ? 
où l'as-tu perdu ?|Je n'ai aucune idée.
Je n'ai aucune idée.|un bouton est difficile à trouver as-tu regardé dans les revers de ton pantalon ? 
un bouton est difficile à trouver. as-tu regardé dans les revers de ton pantalon ?|c'est une bonne idée.
Une fois, j'ai trouvé un bouton dans les poignets de mon pantalon.|laissez-moi regarder non, ce n'est pas là 
laissez-moi regarder.|non, ce n'est pas là de nombreuses chemises sont livrées avec un bouton supplémentaire 
de nombreuses chemises sont livrées avec un bouton supplémentaire.|tu as raison celui-ci a un bouton supplémentaire 
tu as raison.|celui-ci a un bouton supplémentaire il ne vous reste plus qu'à le coudre 
je dois aller à la salle de bain.|tu bois trop de café 
tu bois trop de café.|mais j'adore le café 
mais j'adore le café.|eh bien, c'est ta vie 
eh bien, c'est ta vie.|tu manges trop de chocolat 
tu manges trop de chocolat.|je ne pense pas 
je ne pense pas.|tu t'es regardé dans le miroir ? 
tu t'es regardé dans le miroir ?|tu penses que je grossis
tu penses que je grossis ?|je n'ai pas dit ça.
je n'ai pas dit ça.|Qu'est-ce que vous avez dit? 
Qu'est-ce que vous avez dit?|j'ai dit que je devais aller aux toilettes.
j'ai dit que je devais aller aux toilettes.|c'est ce que je pensais que tu avais dit 
tu as fait la lessive ?|Oui je l'ai fait.
Oui je l'ai fait.|qu'est-ce que tu as lavé ? 
qu'est-ce que tu as lavé ?|j'ai lavé les draps et les serviettes.
j'ai lavé les draps et les serviettes.|et les taies d'oreiller ? 
et les taies d'oreiller ?|oui, je les ai enlevés des oreillers et je les ai lavés.
oui, je les ai enlevés des oreillers et je les ai lavés.|as-tu tout séché au sèche-linge ? 
as-tu tout séché au sèche-linge ?|oui, j'ai tout séché au sèche-linge.
oui, j'ai tout séché au sèche-linge.|alors qu'as-tu fait ? 
alors qu'as-tu fait ?|j'ai plié toutes les serviettes.
j'ai plié toutes les serviettes.|as-tu mis les draps sur les lits ? 
as-tu mis les draps sur les lits ?|oui, et j'ai mis les taies d'oreiller sur les oreillers.
écoutes-tu la radio?|j'écoute jour et nuit.
j'écoute jour et nuit.|tu écoute quoi? 
tu écoute quoi?|je parle principalement à la radio.
je parle principalement à la radio.|Qu'est ce que c'est? 
Qu'est ce que c'est?|les gens parlent de l'actualité.
les gens parlent de l'actualité.|Qu'est-ce-qu'ils disent? 
Qu'est-ce-qu'ils disent?|ils disent qu'ils veulent du changement.
ils disent qu'ils veulent du changement.|quel genre de changement ? 
quel genre de changement ?|ils veulent des réductions d'impôts.
ils veulent des réductions d'impôts.|pourquoi veulent-ils des réductions d’impôts ? 
pourquoi veulent-ils des réductions d’impôts ?|parce que les réductions d'impôts leur feront économiser de l'argent.
maman j'ai faim.|regarde dans le frigo 
regarde dans le frigo.|Je regarde il n'y a rien à manger 
Je regarde.|il n'y a rien à manger es-tu sûr? 
es-tu sûr?|c'est presque vide.
c'est presque vide.|je suis allé au marché hier 
je suis allé au marché hier.|je ne vois rien 
je ne vois rien.|j'ai acheté beaucoup d'oranges et de pommes 
j'ai acheté beaucoup d'oranges et de pommes.|je ne veux pas de fruits je veux quelque chose de savoureux 
je ne veux pas de fruits.|je veux quelque chose de savoureux manger le fruit c'est bon pour toi 
manger le fruit.|c'est bon pour toi la prochaine fois que tu iras au marché, laisse-moi t'accompagner 
la prochaine fois que tu iras au marché, laisse-moi t'accompagner.|non, merci tout ce que vous voulez manger, ce sont des hot-dogs et des barres chocolatées 
qu'est-ce qu'il y a à manger ?|je ne sais pas. regarde dans le frigo.
je ne sais pas.|regarde dans le frigo je pense que je vais faire un sandwich 
je pense que je vais faire un sandwich.|quel genre? 
quel genre?|un sandwich au jambon.
un sandwich au jambon.|le pain est dans le placard 
le pain est dans le placard.|où est la moutarde ? 
où est la moutarde ?|c'est au frigo, je pense.
c'est au frigo, je pense.|oh oui, le voici Veux-tu un sandwich? 
oh oui, le voici. Veux-tu un sandwich?|oui, ça a l'air sympa.
oui, ça a l'air sympa.|que diriez-vous de quelques chips ? 
que diriez-vous de quelques chips ?|Oui. et un cornichon, si nous en avons.
c'est l'heure de votre bain, jeune femme.|mais maman, je ne suis pas sale 
mais maman, je ne suis pas sale.|vous avez besoin d'un bain tous les jours 
vous avez besoin d'un bain tous les jours.|pourquoi ? 
pourquoi ?|parce que tu ne veux pas sentir mauvais.
parce que tu ne veux pas sentir mauvais.|je ne sens pas mauvais 
je ne sens pas mauvais.|c'est ce que tu penses 
c'est ce que tu penses.|si je sentais mauvais, je pouvais me sentir 
je commencerai le dîner à 18h00.|d'accord je pense que je serai réveillé d'ici là 
si je sentais mauvais, je pouvais me sentir.|je peux te sentir 
je peux te sentir.|je peux te sentir aussi 
je peux te sentir aussi.|c'est mon parfum 
c'est mon parfum.|quand puis-je mettre du parfum ? 
quelque chose ne va pas avec mon ordinateur.|exactement quoi? 
exactement quoi?|tout ce que j'obtiens, c'est un écran noir.
tout ce que j'obtiens, c'est un écran noir.|quel est le problème? 
quel est le problème?|je pense que je sais, parce que cela s'est déjà produit.
je pense que je sais, parce que cela s'est déjà produit.|que s'est-il passé avant ? 
que s'est-il passé avant ?|mon disque dur est tombé en panne.
mon disque dur est tombé en panne.|oh non c'est une mauvaise nouvelle 
oh non.|c'est une mauvaise nouvelle c'est sûr, mais je vais d'abord appeler HP, juste pour être sûr 
c'est sûr, mais je vais d'abord appeler HP, juste pour être sûr.|allez-vous perdre tous vos fichiers ? 
allez-vous perdre tous vos fichiers ?|non, je sauvegarde toujours mes fichiers.
non, je sauvegarde toujours mes fichiers.|vous êtes intelligent 
J'ai appelé HP à propos de mon ordinateur.|qu'ont ils dit? 
qu'ont ils dit?|ils ont dit que j'avais besoin d'un nouveau disque dur.
ils ont dit que j'avais besoin d'un nouveau disque dur.|c'est dommage combien coûte un neuf ? 
c'est dommage. combien coûte un neuf ?|ce n'est pas trop, seulement environ 85 $.
et l'installation ?|non, mon disque dur est facile à retirer et à remplacer.
non, mon disque dur est facile à retirer et à remplacer.|vraiment ? 
vraiment ?|oui, ce ne sont que quelques vis.
oui, ce ne sont que quelques vis.|c'est bien 
c'est bien.|c'est bien mieux que de payer 60 $ à quelqu'un 
c'est bien mieux que de payer 60 $ à quelqu'un.|si mon disque dur tombe en panne, je t'appellerai 
Quelle est votre adresse e-mail?|c'est bluedog123.
c'est bluedog123.|chien bleu123 tu es sûr que c'est tout ? 
chien bleu123. tu es sûr que c'est tout ?|Oui.
Oui.|Non c'est incomplet 
Non.|c'est incomplet que veux-tu dire ? 
que veux-tu dire ?|quelle est ton adresse postale
quelle est ton adresse postale ?|456 Cherry Drive, Pasadena, ca 91170.
456 Cherry Drive, Pasadena, ca 91170.|C'est exact 
c'est correct.|donc quel est le problème? 
donc quel est le problème?|bluedog123 n'est que la rue. vous devez me donner la ville, l'état et le code postal.
bluedog123 n'est que la rue.|vous devez me donner la ville, l'état et le code postal Oh je comprends mon adresse e-mail est bluedog123@yahoo com 
Je vais faire une sieste.|vous devriez débrancher le téléphone 
vous devriez débrancher le téléphone.|c'est une bonne idée 
c'est une bonne idée.|tu veux que je te réveille dans une heure ? 
tu veux que je te réveille dans une heure ?|non merci. laisse-moi dormir jusqu'à ce que je me réveille.
non merci.|laisse-moi dormir jusqu'à ce que je me réveille je commencerai le dîner à 18h00 
d'accord.|je pense que je serai réveillé d'ici là sinon, votre nez vous réveillera 
sinon, votre nez vous réveillera.|tu veux dire que je vais sentir la nourriture en train de cuire ? 
tu veux dire que je vais sentir la nourriture en train de cuire ?|vous pourriez même rêver de dîner.
vous pourriez même rêver de dîner.|je ne pense pas que je vais rêver de quoi que ce soit je suis vraiment fatigué 
je ne pense pas que je vais rêver de quoi que ce soit.|je suis vraiment fatigué fais une bonne sieste 
c'était de beaux funérailles.|oui, papa, ça l'était 
oui, papa, ça l'était.|le fils a fait un joli discours sur son père 
le fils a fait un joli discours sur son père.|c'était long aussi 
c'était long aussi.|je pense que cela durait environ 45 minutes 
je pense que cela durait environ 45 minutes.|mais c'est passé vite c'etait intéressant 
mais c'est passé vite.|c'etait intéressant Je l'ai aimé 
Je l'ai aimé.|je vais aussi vous faire un discours comme celui-là 
je vais aussi vous faire un discours comme celui-là.|pensez-vous que quelqu'un viendra à mes funérailles ? 
pensez-vous que quelqu'un viendra à mes funérailles ?|bien sûr.
bien sûr.|je pense que seule la famille sera là 
ouais! Quel était ce bruit?|j'ai dû me moucher.
j'ai dû me moucher.|as-tu dû souffler juste à côté du téléphone ? 
as-tu dû souffler juste à côté du téléphone ?|avez-vous entendu que
et ils vous crieront dessus.|crier ne sert à rien 
crier ne sert à rien.|Non la meilleure chose à faire est de rester à la maison 
allez-vous regarder ce formulaire ?|est-ce que tu as des problèmes avec ça
est-ce que tu as des problèmes avec ça ?|je ne comprends pas certaines choses.
je ne comprends pas certaines choses.|Laissez-moi vous aider 
Laissez-moi vous aider.|que signifie "mi" ? 
que signifie "mi" ?|"mi" signifie initiale du milieu.
"mi" signifie initiale du milieu.|que signifie « mm/jj/aa » ? 
que signifie « mm/jj/aa » ?|cela signifie mois/jour/année. utiliser des chiffres.
cela signifie mois/jour/année.|utiliser des chiffres je ne comprends pas 
je ne comprends pas.|par exemple, si votre date de naissance est le 12 janvier 1987, écrivez le 12/01/87 
par exemple, si votre date de naissance est le 12 janvier 1987, écrivez le 12/01/87.|Oh c'est assez simple 
Oh.|c'est assez simple imprimez toujours clairement et remplissez complètement les bulles 
allons au refuge pour animaux.|Qu'est-ce que vous voulez faire? 
Qu'est-ce que vous voulez faire?|je veux avoir un chiot pour mon fils.
je veux avoir un chiot pour mon fils.|cela le rendra si heureux 
cela le rendra si heureux.|je vais lui offrir un de ces petits chiens 
je vais lui offrir un de ces petits chiens.|celui qui ne deviendra pas trop grand 
celui qui ne deviendra pas trop grand.|et je mange trop 
et je mange trop.|savez-vous lequel il aimerait ? 
savez-vous lequel il aimerait ?|oh, oui, je l'y ai emmené hier. il m'en a montré un qu'il aimait beaucoup.
oh, oui, je l'y ai emmené hier.|il m'en a montré un qu'il aimait beaucoup je parie que tu as dû l'emmener 
je parie que tu as dû l'emmener.|il voulait le ramener à la maison hier 
il voulait le ramener à la maison hier.|je me demande comment il va l'appeler 
Quel temps fait-il?|je ne sais pas. je viens de me réveiller.
je ne sais pas.|je viens de me réveiller pourquoi tu ne regardes pas dehors ? 
pourquoi tu ne regardes pas dehors ?|d'accord. on dirait de la pluie.
d'accord.|on dirait de la pluie Pourquoi dites vous cela? 
Pourquoi dites vous cela?|le ciel est gris.
le ciel est gris.|est-ce qu'il pleut en ce moment ? 
est-ce qu'il pleut en ce moment ?|Non.
Non.|Comment savez-vous? 
Comment savez-vous?|la rue n'est pas mouillée.
la rue n'est pas mouillée.|je dois aller faire du shopping aujourd'hui 
je dois aller faire du shopping aujourd'hui.|tu ferais mieux de prendre un parapluie 
je n'arrive pas à croire à quel point il fait chaud.|il n'est même pas encore midi 
il n'est même pas encore midi.|cela signifie qu'il fera plus chaud 
cela signifie qu'il fera plus chaud.|je meurs de chaleur 
je meurs de chaleur.|allumez le climatiseur 
ça ne marche pas.|ce qui s'est passé? 
as-tu appelé le réparateur ?|bien sûr.
bien sûr.|quand vient-il ? 
quand vient-il ?|Il est occupé. il a dit la semaine prochaine.
je serai heureux quand l'hiver viendra.|pourquoi donc? 
pourquoi donc?|parce que j'aime la neige.
parce que j'aime la neige.|oui, la neige est amusante 
oui, la neige est amusante.|l'année dernière, nous avons fait un gros bonhomme de neige 
l'année dernière, nous avons fait un gros bonhomme de neige.|Il était gros comment? 
Il était gros comment?|il mesurait sept pieds de haut.
il mesurait sept pieds de haut.|combien de temps at-il fallu? 
combien de temps at-il fallu?|cela nous a pris toute la journée.
cela nous a pris toute la journée.|tu lui as donné un nez ? 
tu lui as donné un nez ?|bien sûr. nous lui avons donné une grosse carotte en guise de nez.
bien sûr.|nous lui avons donné une grosse carotte en guise de nez laissez-moi vous aider à en faire un cette année 
je vais a la banque.|Qu'avez-vous besoin de faire? 
Qu'avez-vous besoin de faire?|je dois retirer de l'argent.
je dois retirer de l'argent.|comment vas-tu faire ça ? 
comment vas-tu faire ça ?|je vais juste utiliser le guichet automatique.
je vais juste utiliser le guichet automatique.|Qu'est ce que c'est? 
Qu'est ce que c'est?|c'est le guichet automatique.
c'est le guichet automatique.|ça te donne de l'argent ? 
ça te donne de l'argent ?|je viens d'insérer ma carte de débit dans la machine.
je viens d'insérer ma carte de débit dans la machine.|et ça te donne de l'argent ? 
et ça te donne de l'argent ?|eh bien, ça me donne de l'argent, mais c'est mon propre argent.
eh bien, ça me donne de l'argent, mais c'est mon propre argent. Oh. à quoi ça sert ?|je pensais que ça te donnait de l'argent gratuit.
as-tu mis le bac bleu dans la rue ?|oh non. j'ai oublié. à quelle heure passe le camion de recyclage
à quelle heure passe le camion de recyclage ?|il arrive généralement mardi à midi, c'est-à-dire demain.
oh non.|j'ai oublié Bien, 
eh bien, tu ferais mieux de le sortir devant.|à quelle heure passe le camion de recyclage ? 
il arrive généralement mardi à midi, c'est-à-dire demain.|je vais juste le sortir dans la rue demain matin 
je vais juste le sortir dans la rue demain matin.|oh, non, ce n'est pas le cas 
oh, non, ce n'est pas le cas.|que veux-tu dire ? 
que veux-tu dire ?|chaque matin, vous vous levez tard et partez tard au travail.
chaque matin, vous vous levez tard et partez tard au travail.|tu penses que je vais oublier de le faire ? 
tu penses que je vais oublier de le faire ?|vous vous en souviendrez, mais vous n'aurez pas le temps de le faire.
vous vous en souviendrez, mais vous n'aurez pas le temps de le faire.|ok, je vais le sortir devant tout de suite 
es-tu prêt?|prêt pour quoi
prêt pour quoi?|prêt pour le grand changement.
prêt pour le grand changement.|de quoi parles-tu? 
de quoi parles-tu?|la nation passe à la télévision numérique.
la nation passe à la télévision numérique.|Oh bien sûr, je suis prêt 
Oh.|bien sûr, je suis prêt as-tu acheté le convertisseur ? 
as-tu acheté le convertisseur ?|non, je n'ai pas besoin de convertisseur car j'ai acheté une télévision numérique.
non, je n'ai pas besoin de convertisseur car j'ai acheté une télévision numérique.|c'était combien ? 
c'était combien ?|c'était seulement environ 120 $ pour un écran de 13 pouces.
c'était seulement environ 120 $ pour un écran de 13 pouces.|Est-ce qu'il capte des chaînes numériques ? 
Est-ce qu'il capte des chaînes numériques ?|oh oui. je reçois six chaînes coréennes mais rien en anglais !
les gens sont drôles.|ils le sont certainement 
ils le sont certainement.|as-tu entendu parler du pilote ? 
as-tu entendu parler du pilote ?|celui qui a volé un petit avion
celui qui a volé un petit avion ?|oui, il a volé un avion au Canada et s'est envolé vers les États-Unis
oui, il a volé un avion au Canada et s'est envolé vers les États-Unis, l'ont-ils attrapé ?.|
l'ont-ils attrapé ?|Oui. après que deux avions de combat américains l'aient suivi pendant une heure, il a atterri sur une autoroute.
Oui.|après que deux avions de combat américains l'aient suivi pendant une heure, il a atterri sur une autoroute est-il tombé en panne ? 
est-il tombé en panne ?|non, il vient d'atterrir et s'est rendu à pied dans un restaurant.
non, il vient d'atterrir et s'est rendu à pied dans un restaurant.|les flics ont-ils découvert pourquoi il s'est envolé vers les États-Unis ? 
les flics ont-ils découvert pourquoi il s'est envolé vers les États-Unis ?|sa vie était nulle. il espérait qu'un avion de combat l'abattrait.
sa vie était nulle.|il espérait qu'un avion de combat l'abattrait pauvre homme 
la police a besoin de notre aide pour retrouver un voleur.|Comment savez-vous? 
Comment savez-vous?|les journaux télévisés rapportent un braquage de banque.
les journaux télévisés rapportent un braquage de banque.|savent-ils à quoi ressemble le voleur ? 
savent-ils à quoi ressemble le voleur ?|oui, il mesure 6 pieds, pèse 200 livres, a les cheveux noirs et a environ 30 ans.
oui, il mesure 6 pieds, pèse 200 livres, a les cheveux noirs et a environ 30 ans.|de quelle race est-il ? 
de quelle race est-il ?|ils n'ont pas dit.
ou des artistes.|ils sont dans un monde différent 
ils sont dans un monde différent.|j'ai vu une peinture représentant un pot rempli de crayons 
j'ai vu une peinture représentant un pot rempli de crayons.|l'artiste a dit que le pot était à la fois plein et vide 
ils n'ont pas dit.|les journaux télévisés ne nous parlent plus de la course 
les journaux télévisés ne nous parlent plus de la course.|Bien sûr que non ce serait raciste 
Bien sûr que non.|ce serait raciste mais comment pouvons-nous identifier quelqu'un si nous ne connaissons pas sa race ? 
mais comment pouvons-nous identifier quelqu'un si nous ne connaissons pas sa race ?|ne me demandez pas.
ne me demandez pas.|alors ils ne devraient pas non plus nous dire si le voleur est un homme ou une femme, parce que c'est sexiste 
ne vous essuyez pas le nez avec votre manche.|mais je n'ai pas de mouchoir 
mais je n'ai pas de mouchoir.|puis va chercher un mouchoir dans la salle de bain 
puis va chercher un mouchoir dans la salle de bain.|je n'ai pas eu le temps d'en acheter un à partir de là 
je n'ai pas eu le temps d'en acheter un à partir de là.|vos manches ne sont pas des mouchoirs 
vos manches ne sont pas des mouchoirs.|mais maman, toutes mes amies utilisent leurs manches 
mais maman, toutes mes amies utilisent leurs manches.|cela ne rend pas les choses correctes 
cela ne rend pas les choses correctes.|j'ai vu papa s'essuyer le nez avec sa manche hier 
j'ai vu papa s'essuyer le nez avec sa manche hier.|je vais en parler à ton père 
je vais en parler à ton père.|je parie que papa faisait ça tout le temps quand il avait mon âge 
je parie que papa faisait ça tout le temps quand il avait mon âge.|ton papa était un bon petit garçon 
ton papa était un bon petit garçon. Comment savez-vous?|étais-tu sa maman aussi
Je suis inquiet.|inquiet a propos de quoi? 
inquiet a propos de quoi?|Je me marie.
Je me marie.|tu devrais être heureux, pas inquiet 
tu devrais être heureux, pas inquiet.|je suis heureux, mais le mariage représente beaucoup de responsabilités 
je suis heureux, mais le mariage représente beaucoup de responsabilités.|oui, tu dois prendre soin de ta femme 
oui, tu dois prendre soin de ta femme.|et je dois m'occuper de nos enfants 
et je dois m'occuper de nos enfants.|vas-tu fonder une famille ? 
vas-tu fonder une famille ?|Oui. nous voulons avoir un petit garçon et une petite fille.
Oui.|nous voulons avoir un petit garçon et une petite fille ça a l'air formidable 
ça a l'air formidable.|sauf qu'on ne peut pas se le permettre ! 
sauf qu'on ne peut pas se le permettre ! pas étonnant que tu sois inquiet.|
je ne comprends pas l'art.|ou des artistes 
l'artiste a dit que le pot était à la fois plein et vide.|mais c'était plein de crayons ! comment pouvait-il dire que c'était vide ? 
mais c'était plein de crayons ! comment pouvait-il dire que c'était vide ?|les artistes voient les choses différemment.
les artistes voient les choses différemment.|as-tu déjà vu quelque chose que Picasso a peint ? 
as-tu déjà vu quelque chose que Picasso a peint ?|bien sûr! il est mondialement connu.
bien sûr! il est mondialement connu.|a-t-il déjà pris des cours d'art ? 
a-t-il déjà pris des cours d'art ?|je ne peux pas le croire.
